code,name,nmc,mktcap
603506,南都物业,276596.668467,276596.668467
603505,金石资源,1358048.628552,1367660.907228
603501,韦尔股份,18835089.9209,20828566.72072
603500,祥和实业,227623.715352,227623.715352
603499,翔港科技,145387.367967,145496.483127
603496,恒为科技,351995.47854,403522.70433
603489,八方股份,1776360.6,2993315.765445
603488,展鹏科技,207605.20284,207605.20284
603486,科沃斯,8946556.08,9140421.0216
603477,巨星农牧,553990.834994,632110.710307
603466,风语筑,713637.3305,717342.2255
603458,勘设股份,351250.429594,358438.640104
603456,九洲药业,4296701.8934,4312972.2734
603444,吉比特,2851585.42336,2851585.42336
603439,贵州三力,208858.962312,524223.691992
603429,集友股份,817411.903658,834244.271658
603421,鼎信通讯,487186.311717,487934.581617
603416,信捷电气,442714.14852,682137.68
603408,建霖家居,136744.578649,615971.72
603399,吉翔股份,306862.591996,308356.283996
603398,邦宝益智,306756.198,354626.714745
603396,金辰股份,1393008.049446,1527602.446058
603393,新天然气,1339015.54472,1339015.54472
603392,万泰生物,3250047.62625,13081712.0
603390,通达电气,114645.534528,313704.789728
603389,亚振家居,150819.648,150819.648
603388,元成股份,200454.86818,200454.86818
603387,基蛋生物,681422.314646,681422.314646
603386,广东骏亚,398413.83456,420769.150485
603385,惠达卫浴,326546.456496,340209.431432
603383,顶点软件,483720.2335,483720.2335
603380,易德龙,489280.0,493221.762
603379,三美股份,628605.909448,1987719.744472
603378,亚士创能,622934.60508,667259.361864
603377,东方时尚,587363.648772,587363.648772
603369,今世缘,5566216.5,5566216.5
603368,柳药股份,607262.8968,608889.1956
603367,辰欣药业,586347.624,592985.724
603366,日出东方,380800.0,380800.0
603365,水星家纺,426405.33,426405.33
603363,傲农生物,543441.019492,585212.802622
603360,百傲化学,357727.7892,365362.2672
603359,东珠生态,486690.736,486690.736
603358,华达科技,755148.8,755148.8
603357,设计总院,419542.910254,419542.910254
603356,华菱精工,187476.04,187476.04
603355,莱克电气,1486683.1756,1515767.218
603353,和顺石油,147706.78,414411.66
603351,威尔药业,176849.440092,401558.072448
603348,文灿股份,754230.2278,768118.4278
603345,安井食品,4465887.4152,4538960.3652
603339,四方科技,342860.8219,342860.8219
603338,浙江鼎力,2897863.373299,2897863.373299
603337,杰克股份,956983.13766,959954.92356
603336,宏辉果蔬,300053.583036,300053.583036
603335,迪生力,202512.3958,202512.3958
603333,尚纬股份,375171.885132,375171.885132
603332,苏州龙杰,46683.95,186732.66
603331,百达精工,205060.139995,205060.139995
603330,上海天洋,449790.408408,449790.408408
603329,上海雅仕,179520.0,215908.4252
603328,依顿电子,763808.597415,763808.597415
603327,福蓉科技,158624.5662,620748.0
